Provinsi,Nilai Korelasi
Aceh,-0.547099257
Sumatera Utara,-0.483351843
Sumatera Barat,-0.288549227
Riau ,0.308482291
Jambi,-0.285978016
Sumatera Selatan,0.693556128
Bengkulu,-0.902653488
Lampung,-0.865578793
Kepulauan Bangka Belitung,-0.440329305
Kepulauan Riau,-0.742657105
DKI Jakarta,0.257466776
Jawa Barat,0.741194655
Jawa Tengah,-0.585152595
DI Yogyakarta,0.335377284
Jawa Timur,0.187731565
Banten,0.127659704
Bali,0.424780776
Nusa Tenggara Barat,-0.843551491
Nusa Tenggara Timur,-0.156673693
Kalimantan Barat,-0.707905733
Kalimantan Tengah,-0.025883506
Kalimantan Selatan,-0.080253181
Kalimantan Timur,-0.006227365
Kalimantan Utara,-0.714752035
Sulawesi Utara,-0.620874148
Sulawesi Tengah,-0.720511084
Sulawesi Selatan,-0.034016776
Sulawesi Tenggara,-0.300099561
Gorontalo,-0.539173971
Sulawesi Barat,0.555899369
Maluku,0.481309632
Maluku Utara,-0.571763641
Papua Barat,0.17863066
Papua,0.911157038
