Provinsi,2019,2020,2021,2022,2023
ACEH,46.77,54.25,60.21,64.89,70.91
SUMATERA UTARA,51.78,58.6,67.41,74.44,79.6
SUMATERA BARAT,52.85,58.67,68,73.12,79
RIAU,55.37,62.67,70.69,77.63,81.61
JAMBI,50.83,56.87,64.47,72.33,76.78
SUMATERA SELATAN,46.5,54.52,62.59,69.12,74.51
BENGKULU,48.7,53.42,62.1,70.57,74.95
LAMPUNG,48.37,55.57,65.76,72,78.79
KEP. BANGKA BELITUNG,54.93,60.37,66.33,75.7,79.68
KEP. RIAU,77.18,81.73,89.06,91.14,93.7
DKI JAKARTA,85.17,88.08,91.79,92.36,93.98
JAWA BARAT,65.37,71.09,76.08,79.42,82.41
JAWA TENGAH,58.75,65.78,71.15,76.95,81
DI YOGYAKARTA,75.04,81.36,84.72,86.98,90.01
JAWA TIMUR,57.23,63.91,68.07,73.63,77.4
BANTEN,66.96,69.35,75.69,79.01,81.66
BALI,65.48,72.56,77.09,80.77,84.03
NUSA TENGGARA BARAT,47.85,52.72,58.69,64.98,69.55
NUSA TENGGARA TIMUR,36.33,42.89,53.16,57.78,62.46
KALIMANTAN BARAT,47.04,54.1,62.04,70.39,75.58
KALIMANTAN TENGAH,54.54,59.66,66.43,73.94,79.75
KALIMANTAN SELATAN,57.82,62.88,70.39,76.5,80.26
KALIMANTAN TIMUR,69.44,75.33,81.17,87.61,89.61
KALIMANTAN UTARA,65.36,71.99,76.94,84.8,86.92
SULAWESI UTARA,57.48,63.03,69.77,72.77,76.66
SULAWESI TENGAH,44.13,51.68,58.19,63.71,67.81
SULAWESI SELATAN,54.85,60.5,67.29,73.16,76.78
SULAWESI TENGGARA,53.36,60.35,65.75,71.84,76.67
GORONTALO,50.62,55.68,61.94,67.02,70.96
SULAWESI BARAT,40.95,47.66,55.72,64.92,68.86
MALUKU,44.02,49.96,59.26,65.58,69.01
MALUKU UTARA,38.11,45.22,51.53,59.45,64
PAPUA BARAT,52.37,59.45,62.31,66.05,70.38
PAPUA,26.45,30.93,30.58,29.82,33.84
