Provinsi,2019,2020,2021,2022,2023
Aceh,2643763.35648973,2854101.639,2567906.45152125,2361299.68201397,2562649
Sumatera Utara,2764087.26275621,2842548.534,2844334.29879264,2683429.25904545,2738118
Sumatera Barat,3224633.38739916,3090730.373,3382611.02825621,3104758.04559485,3058267
Riau ,2967003.27051812,3143892.259,3312676.71731701,3190934.03242895,3036130
Jambi,2944907.36941708,2795659.482,2521579.38134139,2424324.58194113,2960394
Sumatera Selatan,2442075.42630926,2652181.866,2503413.12103433,2564404.93460695,3113672
Bengkulu,3420158.37209762,3008235.354,3128555.71348967,2581969.20466443,2620054
Lampung,3000170.55338208,2996397.873,2857053.20945931,2299893.22582057,2453136
Kepulauan Bangka Belitung,4073690.10177369,4289693.48,3908055.66665882,3414287.20899817,4131394
Kepulauan Riau,4961726.24792821,5488799.64,4815174.47810269,4687604.39897588,4344653
DKI Jakarta,6637817.56953411,6991578.627,5429648.83168941,8881617.73116069,7320678
Jawa Barat,3693924.50870895,3979273.871,4213227.07774441,4298311.60661884,4015632
Jawa Tengah,3003935.8203,3150622.829,2899059.63026857,2665987.06983364,2928002
DI Yogyakarta,3206036.28846208,3122052.432,3090957.19800214,3125327.14385085,3379563
Jawa Timur,2632522.84554033,2829482.738,3278652.58109694,2687940.25201564,2847058
Banten,4221350.67479813,4529592.925,5058278.77688548,4492301.20978952,4287214
Bali,3705187.83639767,4071045.775,3677738.27593274,3534248.5537711,4666391
Nusa Tenggara Barat,2631080.64471359,2805366.669,2611802.82640998,2066099.95506913,2173209
Nusa Tenggara Timur,2187732.34564604,2282764.298,2592364.26968191,2068197.80190993,2114278
Kalimantan Barat,3234148.9365523,3398487.887,2937579.69255663,3117883.02493962,2916940
Kalimantan Tengah,3108677.84188773,3476394.315,4443282.28533238,3253805.92038888,3234895
Kalimantan Selatan,3169263.75526925,3041663.251,3631528.56586452,3000837.48570358,3091569
Kalimantan Timur,4097512.70414594,4674261.44,3841691.56249772,3969073.77083719,4544755
Kalimantan Utara,4446351.94742376,4448926.643,3531212.32437252,3503478.65884116,3935438
Sulawesi Utara,4175750.27649514,3589220.069,3729776.71015315,3579589.62900597,3737221
Sulawesi Tengah,2880195.91248248,2784704.596,2615966.3367487,2684410.79671418,2723889
Sulawesi Selatan,3297479.35595393,3325116.233,4077070.83803581,3434337.59201763,3122592
Sulawesi Tenggara,2651513.2822721,3155601.17,2720152.38672945,2727372.60379629,2631317
Gorontalo,3444393.15465226,3785514.651,3937910.30169242,2874346.89201998,3134646
Sulawesi Barat,2049004.17415155,2219863.105,1909719.80408948,2180531.70360761,2465370
Maluku,2772398.47093349,2817080.059,3155745.28571245,2782594.27043269,3047299
Maluku Utara,2647601.63728067,2861500.598,2722676.11372637,2484814.31011109,2587412
Papua Barat,3581424.34481939,3217502.938,3718264.61454599,3670916.65126078,3534167
Papua,3717662.4980276,3955927.456,4130590.39250283,3915725.44807734,4679267
